country,SFTGcode,COW,risk_in_2020,risk_in_2020_21,anymk.ongoing,anymk.ever,reg.afr,reg.eap,reg.eur,reg.mna,reg.sca,countryage.ln,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,ios.iccpr1,includesnonstate,minorityrule,elf.ethnic,battledeaths.ln,candidaterestriction,partyban,judicialreform,religiousfreedom,pol_killing_approved,freemove_men4,freemove_women4,freediscussion,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,ses_power_dist,tradeshare.ln.combined,coup.try.5yr
Indonesia,INS,850,0.01539,0.03585,0,1,0,1,0,0,0,4.262679877,19.41624676,4.593473631,5.024714022,0,1,0,0.74,0,0,4,2,2,0,1,0,0.792,0,0,0,1,0.395,3.619084418,0
Morocco,MOR,600,0.01514,0.047,0,0,0,0,0,1,0,4.158883083,17.41204907,4.38178046,2.3,0,1,0,0.48,0,1,4,2,2,0,0,0,0.611,0,0,0,1,-0.295,4.471218019,0
Uzbekistan,UZB,704,0.01482,0.02694,0,0,0,0,0,0,1,3.36729583,17.32946057,4.370354677,5.563723953,1,1,1,0.41,0,1,3,1,2,0,0,0,0.557,0,0,0,1,0.128,4.290690617,0
Angola,ANG,540,0.0146,0.03284,0,1,1,0,0,0,0,3.80666249,17.27577197,7.183313998,-0.869393785,1,1,1,0.79,3.258096538,1,4,1,3,0,1,1,0.554,0,0,0,1,-1.373,4.195365856,0
Egypt,EGY,651,0.01459,0.03281,0,1,0,0,0,1,0,4.204692619,18.42455396,4.254409477,5.557683888,1,1,0,0.18,6.107022888,1,3,1,2,0,1,0,0.125,0,0,0,1,-0.102,3.876981585,0
Laos,LAO,812,0.01422,0.0234,0,1,0,1,0,0,0,4.262679877,15.7853402,6.131883887,4.651887119,0,1,1,0.51,0,1,0,1,2,1,0,0,0.063,0,0,0,1,-0.039,4.318712576,0
Mali,MLI,432,0.01371,0.02267,0,0,1,0,0,0,0,4.094344562,16.79399652,7.874007874,5.040000002,1,1,0,0.69,6.403574198,1,4,1,3,0,1,1,0.915,0,0,0,1,1.243,4.046361525,0
Philippines,PHI,840,0.01363,0.01773,1,1,0,1,0,0,0,4.804021045,18.49872097,4.74341649,6.040575257,1,1,1,0.24,5.736572297,1,4,1,4,0,1,1,0.676,0,0,0,1,-0.535,4.228393201,0
Uganda,UGA,500,0.01357,0.03503,0,1,1,0,0,0,0,4.060443011,17.60580863,5.813776741,6.507342527,1,1,1,0.93,5.80814249,1,4,1,3,1,1,1,0.259,0,1,0,1,1.607,3.829051371,0
Kenya,KEN,501,0.01349,0.02477,0,0,1,0,0,0,0,4.043051268,17.77773175,5.531726674,5.365748965,0,1,0,0.86,4.127134385,1,4,1,4,0,1,0,0.838,0,0,0,1,0.442,3.508599105,0
Bangladesh,BNG,771,0.01234,0.0266,0,1,0,0,0,0,1,3.891820298,18.90954391,5.00999002,8.152684947,0,1,0,0.05,0,1,3,1,3,0,1,0,0.338,0,0,0,1,-2.393,3.604391248,0
Tajikistan,TAJ,702,0.0123,0.01883,0,0,0,0,0,0,1,3.36729583,16.04778241,5.513619501,7.011268985,1,1,1,0.51,0,1,2,1,1,0,0,0,0.287,0,0,0,1,-1.79,4.036763897,0
Ivory Coast,IVO,437,0.01203,0.02617,0,1,1,0,0,0,0,4.094344562,17.06264508,7.707139547,6.852334587,1,1,1,0.82,0,1,4,1,4,0,1,1,0.743,0,0,0,1,-0.394,3.819843667,0
Niger,NIR,436,0.01199,0.01741,0,0,1,0,0,0,0,4.094344562,16.96442368,6.92820323,5.828590084,1,1,0,0.65,5.700443573,1,4,1,4,0,1,1,0.723,0,0,0,0,1.974,3.681677482,0
Tanzania,TAZ,510,0.01164,0.02608,0,1,1,0,0,0,0,4.077537444,17.87604775,6.131883887,5.791371376,0,1,0,0.74,0,1,4,1,3,0,1,1,0.713,0,0,0,0,0.943,3.47317507,0
Iran,IRN,630,0.0112,0.02552,0,1,0,0,0,1,0,6.251903883,18.23331335,3.521363372,0.037,0,1,1,0.67,3.401197382,0,2,1,1,0,1,0,0.336,0,0,0,1,-0.238,3.887333465,0
Nicaragua,NIC,93,0.01081,0.01808,0,1,0,0,0,0,0,5.204006687,15.69428865,3.962322551,-3.8785099,1,1,1,0.48,0,1,4,0,3,0,0,0,0.151,0,0,0,1,-0.477,4.554672812,0
Nepal,NEP,790,0.01067,0.0183,0,1,0,0,0,0,1,5.529429088,17.16922177,5.167204273,6.991212438,1,1,0,0.66,0,1,4,2,3,0,1,0,0.766,0,0,0,0,0.465,4.005985389,0
South Africa,SAF,560,0.01059,0.02199,0,1,1,0,0,0,0,4.700480366,17.88553288,5.338539126,0.152583317,1,1,0,0.75,0,1,4,1,4,0,1,1,0.784,0,0,0,1,1.477,4.080998162,0
Sierra Leone,SIE,451,0.01046,0.01845,0,1,1,0,0,0,0,4.077537444,15.87132709,8.860022573,5.513460168,1,1,0,0.82,0,0,4,1,4,0,1,1,0.855,0,0,0,0,0.562,4.037700674,0
Guinea,GUI,438,0.01044,0.02119,0,1,1,0,0,0,0,4.127134385,16.3627068,8.056053624,5.576968903,1,1,0,0.74,0,1,4,1,3,0,1,1,0.662,0,0,0,1,-1.056,4.688783371,0
Equatorial Guinea,EQG,411,0.01031,0.01417,0,1,1,0,0,0,0,3.951243719,14.12003942,7.912016178,-5.576308454,1,1,1,0.35,0,1,2,1,3,0,0,0,0.231,0,0,0,1,-1.082,4.676386191,0
Thailand,THI,800,0.009674,0.019,0,1,0,1,0,0,0,6.507277712,18.05864262,2.792848009,2.37187626,0,1,1,0.63,4.025351691,1,4,1,4,0,1,1,0.255,0,0,0,1,0.378,4.703196633,0
Russia,RUS,365,0.009426,0.01418,0,1,0,0,1,0,0,3.36729583,18.78791449,2.469817807,1.341875441,1,1,0,0.25,3.295836866,1,3,1,2,0,1,1,0.572,0,0,0,0,-0.628,3.893330787,0
Eritrea,ERI,531,0.009026,0.01303,0,0,1,0,0,0,0,3.295836866,15.62071195,5.594640292,0.05,0,1,1,0.65,0,1,0,1,1,0,0,0,0.081,0,0,1,1,0.556,-1.714846647,0
Malawi,MAW,553,0.008786,0.01698,0,1,1,0,0,0,0,4.025351691,16.74021648,5.941380311,4.369238986,1,1,0,0.67,0,0,4,1,4,0,1,1,0.858,0,0,0,1,-0.203,4.198772287,0
Brazil,BRA,140,0.008694,0.01648,0,0,0,0,0,0,0,5.272999559,19.16760339,3.577708764,1.136585572,0,1,0,0.54,0,1,4,1,3,0,1,1,0.784,0,0,0,1,-0.578,3.366489424,0
Madagascar,MAG,580,0.008669,0.01486,0,0,1,0,0,0,0,4.094344562,17.11021,6.180614856,4.8,1,1,0,0.88,0,1,4,1,4,0,1,1,0.654,0,0,0,1,0.246,4.091376062,0
North Korea,PRK,731,0.0085,0.01133,1,1,0,1,0,0,0,4.276666119,17.05979936,4.472135955,-0.016580903,0,1,1,0.04,0,1,0,1,1,1,0,0,0.022,0,1,1,1,-1.14,-2.841965881,0
United Arab Emirates,UAE,696,0.008015,0.0146,0,0,0,0,0,1,0,3.891820298,16.09488117,2.549509757,1.677720371,0,1,1,0.63,0,1,1,1,3,0,0,0,0.38,0,0,0,1,-0.84,5.081007348,0
Liberia,LBR,450,0.008006,0.01582,0,1,1,0,0,0,0,5.153291594,15.41234417,7.314369419,-2.278245125,0,1,0,0.91,0,1,4,1,4,0,1,1,0.77,0,0,0,1,1.018,4.847741988,0
Algeria,ALG,615,0.007951,0.01695,0,1,0,0,0,1,0,4.060443011,17.57794373,4.483302354,0.8,1,1,0,0.34,0,1,3,1,2,0,1,1,0.618,0,0,0,0,0.682,3.952104398,0
Zimbabwe,ZIM,552,0.007876,0.02115,0,1,1,0,0,0,0,3.688879454,16.49964149,5.822370651,-8.100000199,0,1,1,0.39,0,1,4,1,4,1,1,1,0.275,0,1,0,1,-0.327,3.912130229,1
Zambia,ZAM,551,0.007825,0.01258,0,0,1,0,0,0,0,4.025351691,16.6981318,6.356099433,1.705792875,1,1,0,0.78,0,1,4,1,4,0,1,1,0.811,0,0,0,1,0.443,4.248995613,0
Ukraine,UKR,369,0.007684,0.008896,0,0,0,0,1,0,0,3.36729583,17.60841562,2.738612788,3.233491188,1,1,0,0.47,5.459585514,0,3,1,3,0,1,1,0.656,0,0,0,0,-1.077,4.50173881,0
Bolivia,BOL,145,0.007555,0.009627,0,0,0,0,0,0,0,5.272999559,16.25899608,4.669047012,2.216707101,1,1,0,0.74,0,1,4,1,4,0,0,0,0.626,0,1,0,0,1.385,4.032421403,0
Mexico,MEX,70,0.007497,0.0103,0,0,0,0,0,0,0,5.293304825,18.66421913,3.31662479,-0.145602325,1,1,0,0.54,0,1,4,1,4,0,1,1,0.89,0,0,0,0,1.074,4.358962331,0
Peru,PER,135,0.007177,0.0121,0,1,0,0,0,0,0,4.94875989,17.29707223,3.33166625,2.150131391,1,1,0,0.66,0,1,4,2,4,0,1,1,0.904,0,0,0,1,1,3.852737704,0
Haiti,HAI,41,0.006974,0.01187,0,1,0,0,0,0,0,5.375278408,16.23704041,7.03562364,-0.93487001,0,1,1,0.1,0,1,4,1,4,0,1,1,0.819,0,0,0,1,-0.99,4.308225535,0
Guatemala,GUA,90,0.006792,0.01073,0,1,0,0,0,0,0,5.198497031,16.62515575,4.701063709,3.845997853,1,1,1,0.51,0,1,4,1,4,0,1,1,0.725,1,0,0,1,-0.164,3.825714907,0
Senegal,SEN,433,0.006791,0.009351,0,0,1,0,0,0,0,4.094344562,16.60645257,5.639148872,5.271192358,1,1,0,0.69,0,1,4,1,3,0,1,1,0.883,0,0,0,0,0.679,4.102749185,0
