country,SFTGcode,COW,risk_in_2020,risk_in_2020_21,anymk.ongoing,anymk.ever,reg.afr,reg.eap,reg.eur,reg.mna,reg.sca,countryage.ln,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,ios.iccpr1,includesnonstate,minorityrule,elf.ethnic,battledeaths.ln,candidaterestriction,partyban,judicialreform,religiousfreedom,pol_killing_approved,freemove_men4,freemove_women4,freediscussion,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,ses_power_dist,tradeshare.ln.combined,coup.try.5yr
The Gambia,GAM,420,0.003179,0.003678,0,0,1,0,0,0,0,4.007333185,14.66894924,6.244997998,5.975204332,1,1,0,0.79,0,0,4,1,4,0,1,1,0.803,0,1,0,1,1.185,4.181812681,0
Fiji,FJI,950,0.003117,0.003367,0,0,0,1,0,0,0,3.912023005,13.69892393,4.647580015,1.063260344,0,1,0,0.55,0,1,4,1,3,0,1,1,0.553,0,0,0,1,0.891,-0.417854363,0
Chile,CHL,155,0.003112,0.003899,0,1,0,0,0,0,0,5.308267697,16.75742203,2.48997992,1.054442551,1,1,0,0.19,0,1,4,1,4,0,1,1,0.87,0,1,0,1,0.663,4.038863367,0
Croatia,CRO,344,0.003099,0.003173,0,0,0,0,1,0,0,3.36729583,15.21853912,2,2.93606564,1,1,0,0.37,0,1,4,1,4,0,1,1,0.741,0,0,0,1,0.33,4.633269412,0
Timor-Leste,ETM,860,0.002992,0.003296,0,0,0,1,0,0,0,2.890371758,14.07256769,6.268971207,3.414192346,0,1,0,0.9,0,1,4,1,4,0,1,1,0.886,0,1,0,0,0.325,4.143238598,0
Japan,JPN,740,0.002989,0.003333,0,0,0,1,0,0,0,7.215239979,18.65389288,1.341640786,0.65415165,0,1,0,0.01,0,1,4,1,4,0,1,1,0.815,0,1,0,0,1.989,3.605946314,0
United Kingdom,UKG,200,0.002977,0.003387,0,0,0,0,1,0,0,6.182084907,18.01772855,1.897366596,1.408642101,0,1,0,0.12,0,1,4,1,4,0,1,1,0.955,0,1,0,0,0.933,4.162838965,0
Spain,SPN,230,0.002944,0.003032,0,0,0,0,1,0,0,6.269096284,17.66729047,1.58113883,1.979100561,1,1,0,0.42,0,1,4,2,4,0,1,1,0.875,0,1,0,0,1.113,4.203454071,0
Italy,ITA,325,0.002919,0.002875,0,0,0,0,1,0,0,5.068904202,17.91479948,1.61245155,0.301256161,1,1,0,0.11,0,1,4,1,4,0,1,1,0.968,0,1,0,0,1.989,4.0966657,0
France,FRN,220,0.002853,0.00281,0,0,0,0,1,0,0,7.070724107,18.02109661,1.843908891,1.508594035,1,1,0,0.1,0,1,4,2,4,0,1,1,0.927,0,1,0,0,1.015,4.16701755,0
El Salvador,SAL,92,0.002751,0.00323,0,1,0,0,0,0,0,5.187385806,15.68014139,3.435112807,2.382362908,1,1,0,0.2,0,1,4,1,4,0,1,1,0.842,0,1,0,1,-0.331,4.346125801,0
Georgia,GRG,372,0.002719,0.003222,0,1,0,0,1,0,0,3.36729583,15.12933691,2.949576241,5.136813264,1,1,0,0.49,0,1,4,1,4,0,1,1,0.967,0,1,0,1,1.038,4.761049299,0
Bulgaria,BUL,355,0.002679,0.002861,0,1,0,0,1,0,0,4.955827058,15.75795198,2.42899156,3.371615546,1,1,0,0.4,0,1,4,1,4,0,1,1,0.853,0,1,0,0,0.948,4.818046045,0
Hungary,HUN,310,0.002499,0.00285,0,1,0,0,1,0,0,5.141663557,16.0948218,1.897366596,4.927792275,1,1,0,0.15,0,1,4,1,4,0,1,1,0.829,0,1,0,1,0.601,5.093630819,0
Australia,AUL,900,0.002462,0.002276,0,0,0,1,0,0,0,4.779123493,17.04885351,1.760681686,1.89682574,1,1,0,0.09,0,1,4,1,4,0,1,1,0.937,0,1,0,0,0.774,3.821796618,0
Belgium,BEL,211,0.002382,0.002155,0,0,0,0,1,0,0,5.247024072,16.25647011,1.702938637,1.404455201,1,1,0,0.56,0,1,4,1,4,0,1,1,0.943,0,1,0,0,1.989,5.095547489,0
Bhutan,BHU,760,0.002329,0.001922,0,0,0,0,0,0,1,4.905274778,13.54513388,4.979959839,0.074,0,1,0,0.6,0,1,3,1,2,0,1,0,0.676,0,1,0,0,1.356,4.462589001,0
Czech Republic,CZR,316,0.00229,0.002087,0,0,0,0,1,0,0,3.295836866,16.18291935,1.643167673,2.565931233,1,1,0,0.32,0,1,4,1,4,0,1,1,0.963,0,1,0,0,1.053,4.975881418,0
Belarus,BLR,370,0.002218,0.001953,0,0,0,0,1,0,0,3.36729583,16.06330741,1.61245155,1.222096629,1,1,0,0.32,0,1,4,1,3,0,1,1,0.725,0,1,0,0,1.914,4.892947175,0
Netherlands,NTH,210,0.002192,0.001845,0,0,0,0,1,0,0,6.11368218,16.6681141,1.816590212,1.810503082,1,1,0,0.11,0,1,4,1,4,0,1,1,0.925,0,1,0,0,1.85,5.039043448,0
Albania,ALB,339,0.002175,0.002154,0,1,0,0,1,0,0,4.682131227,14.864299,2.792848009,2.214063153,1,1,0,0.22,0,1,4,1,4,0,1,1,0.815,0,1,0,0,-1.289,4.340270605,0
Switzerland,SWZ,225,0.002164,0.002097,0,0,0,0,1,0,0,6.591673732,15.96434196,1.923538406,0.92883244,0,1,0,0.53,0,1,4,1,4,0,1,1,0.92,0,1,0,0,1.642,4.782801558,0
Mongolia,MON,712,0.002159,0.001814,0,0,0,1,0,0,0,4.691347882,14.98649529,3.741657387,5.099167896,1,1,0,0.37,0,1,4,2,4,0,1,1,0.952,0,1,0,0,1.107,4.834366351,0
Jamaica,JAM,51,0.00214,0.00177,0,0,0,0,0,0,0,4.060443011,14.89673217,3.521363372,0.7,1,1,0,0.41,0,1,4,1,4,0,1,1,0.924,0,1,0,0,1.526,4.48893275,0
Trinidad and Tobago,TRI,52,0.002094,0.001749,0,0,0,0,0,0,0,4.060443011,14.14838562,4.049691346,-0.002371632,1,1,0,0.65,0,1,4,1,4,0,1,1,0.883,0,1,0,0,0.422,-0.273321998,0
Greece,GRC,350,0.002088,0.001702,0,0,0,0,1,0,0,5.236441963,16.18727856,1.897366596,1.870869674,1,1,0,0.16,0,1,4,1,3,0,1,1,0.959,0,1,0,0,2.565,4.30924714,0
Slovakia,SLO,317,0.002059,0.001911,0,0,0,0,1,0,0,3.295836866,15.51187323,2.144761059,2.398568858,1,1,0,0.25,0,1,4,1,3,0,1,1,0.931,0,1,0,1,1.244,5.221705973,0
New Zealand,NEW,920,0.002006,0.001644,0,0,0,1,0,0,0,4.727387819,15.40820915,2.167948339,2.170978389,1,1,0,0.4,0,1,4,1,4,0,1,1,0.945,0,1,0,0,1.806,4.024314544,0
Oman,OMA,698,0.002001,0.001823,0,0,0,0,0,1,0,5.913503006,15.41993311,3.130495168,0.5,0,1,1,0.44,0,1,0,1,3,0,1,0,0.321,0,1,0,1,-0.503,4.61200824,0
Costa Rica,COS,94,0.001999,0.001626,0,0,0,0,0,0,0,5.293304825,15.43441571,2.75680975,2.083859938,1,1,0,0.24,0,1,4,1,4,0,1,1,0.936,0,1,0,0,0.676,4.191153858,0
Singapore,SIN,830,0.001986,0.002118,0,0,0,1,0,0,0,4.007333185,15.55660268,1.516575089,0.733309935,0,1,1,0.39,0,1,4,1,3,0,1,1,0.468,0,1,0,1,0.759,5.765656141,0
Austria,AUS,305,0.001967,0.001628,0,0,0,0,1,0,0,4.624972813,15.99898177,1.702938637,1.612959328,1,1,0,0.11,0,1,4,1,3,0,1,1,0.953,0,1,0,0,0.819,4.679578931,0
Armenia,ARM,371,0.001945,0.001572,0,0,0,0,1,0,0,3.36729583,14.89993298,3.31662479,7.6,1,1,0,0.13,0,0,4,1,3,0,1,1,0.91,0,1,0,0,0.21,4.51559865,0
Cyprus,CYP,352,0.001942,0.00138,0,0,0,0,1,0,0,4.094344562,13.99664391,1.378404875,3.230090314,1,1,0,0.09,0,1,4,1,4,0,1,1,0.927,0,0,0,0,1.737,4.960344707,0
Macedonia,MAC,343,0.001942,0.001812,0,0,0,0,1,0,0,3.36729583,14.5697392,2.720294102,0,1,1,0,0.5,0,1,4,1,3,0,1,1,0.741,0,1,0,1,-0.576,-1.03691204,0
Portugal,POR,235,0.00186,0.001441,0,0,0,0,1,0,0,6.776506992,16.14468081,1.760681686,2.164403593,1,1,0,0.05,0,1,4,1,4,0,1,1,0.96,0,1,0,0,1.44,4.47325131,0
Mauritius,MAS,590,0.00185,0.001552,0,0,1,0,0,0,0,3.951243719,14.05114458,3.687817783,3.55078438,1,1,0,0.46,0,0,4,1,4,0,1,1,0.918,0,1,0,0,1.447,4.530543376,0
Sweden,SWD,380,0.001846,0.001428,0,0,0,0,1,0,0,6.208590026,16.14624112,1.483239697,1.194853426,1,1,0,0.06,0,1,4,1,4,0,1,1,0.832,0,1,0,0,1.959,4.505194085,0
Uruguay,URU,165,0.001802,0.001362,0,0,0,0,0,0,0,5.272999559,15.05728018,2.529822128,0.222121735,1,1,0,0.25,0,1,4,1,4,0,1,1,0.944,0,1,0,0,2.003,3.714305993,0
Latvia,LAT,367,0.001755,0.001425,0,0,0,0,1,0,0,3.36729583,14.46407294,1.816590212,2.197441768,1,1,0,0.59,0,1,4,2,4,0,1,1,0.946,0,1,0,0,1.268,4.785239729,0
Ireland,IRE,205,0.00175,0.001337,0,0,0,0,1,0,0,4.584967479,15.41316815,1.760681686,5.549767053,1,1,0,0.12,0,1,4,1,4,0,1,1,0.949,0,1,0,0,1.75,5.477363112,0
Lithuania,LIT,368,0.001735,0.001364,0,0,0,0,1,0,0,3.36729583,14.84042033,1.816590212,3.930407976,1,1,0,0.32,0,1,4,1,4,0,1,1,0.806,0,1,0,0,1.124,5.014499422,0
Solomon Islands,SOL,940,0.00169,0.001178,0,0,0,1,0,0,0,3.737669618,13.41476878,4.135214626,2.693985053,0,1,0,0.11,0,1,4,1,4,0,1,0,0.815,0,1,0,0,0.607,-0.065807859,0
Finland,FIN,375,0.001685,0.001241,0,0,0,0,1,0,0,4.624972813,15.5239453,1.183215957,0.97958181,1,1,0,0.13,0,1,4,0,3,0,1,1,0.94,0,1,0,0,2.535,4.37533773,0
Norway,NOR,385,0.001675,0.001241,0,0,0,0,1,0,0,4.744932128,15.49221377,1.449137675,1.154721939,1,1,0,0.06,0,0,4,1,4,0,1,1,0.903,0,1,0,0,2.361,4.278698769,0
Denmark,DEN,390,0.001674,0.001193,0,0,0,0,1,0,0,6.961296046,15.57656216,1.897366596,2.365846456,1,1,0,0.08,0,1,4,1,4,0,1,1,0.94,0,1,0,0,2.704,4.653976373,0
Estonia,EST,366,0.001512,0.00111,0,0,0,0,1,0,0,3.36729583,14.0981223,1.449137675,4.334487473,1,1,0,0.51,0,1,4,1,4,0,1,1,0.943,0,1,0,0,1.958,4.949852664,0
Slovenia,SLV,349,0.001486,0.00109,0,0,0,0,1,0,0,3.36729583,14.55169137,1.303840481,2.442991915,1,1,0,0.22,0,1,4,1,4,0,1,1,0.925,0,1,0,0,1.098,5.073523206,0
Montenegro,MNE,341,0.001426,0.001189,0,0,0,0,1,0,0,2.63905733,13.3409156,1.516575089,3.620808341,1,1,0,0.7,0,1,4,1,3,0,1,1,0.711,0,1,0,1,-0.389,4.695503481,0
