country,SFTGcode,ISO3,COW,risk_in_2022,risk_in_2022_23,riskrank,1 in X chance,anymk.ongoing,anymk.ever,reg.afr,reg.eap,reg.eur,reg.mna,reg.sca,countryage.ln,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,ios.iccpr1,includesnonstate,minorityrule,elf.ethnic,battledeaths.ln,candidaterestriction,partyban,judicialreform,religiousfreedom,pol_killing_approved,freemove_men4,freemove_women4,freediscussion,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,ses_power_dist,tradeshare.ln.combined,coup.try.5yr
Kazakhstan,KZK,KAZ,705,0.003032,0.004,101,262,0,0,0,0,0,0,1,3.433987204,16.76314648,2.983286778,0.026287214,1,1,1,0.62,0,1,3,1,2,0,1,1,0.497,0,1,0,1,-0.086,-2.340686278,0
Bolivia,BOL,BOL,145,0.003185,0.004,102,265,0,0,0,0,0,0,0,5.283203729,16.29733748,4.549725266,0.04364205,1,1,0,0.74,0,0,4,1,4,0,1,1,0.791,0,1,0,1,1.678,-2.287032395,0
Paraguay,PAR,PRY,150,0.003379,0.004,103,269,0,0,0,0,0,0,0,5.351858133,15.81646014,4.024922359,0.027934525,1,1,1,0.17,0,1,4,1,4,0,1,1,0.815,0,0,0,1,-0.157,-2.07169738,0
Tunisia,TUN,TUN,616,0.00264,0.004,104,280,0,0,0,0,0,1,0,4.189654742,16.3058107,3.78153408,0.020870968,1,1,0,0.04,0,1,4,1,3,0,1,1,0.746,0,1,0,0,1.424,-1.793313585,0
South Korea,ROK,KOR,732,0.002897,0.004,105,282,0,1,0,1,0,0,0,4.304065093,17.75660151,1.61245155,0.02646159,1,1,0,0,0,1,4,1,4,0,1,1,0.967,0,1,0,0,1.047,-1.954361683,0
Fiji,FJI,FJI,950,0.002826,0.004,106,282,0,0,0,1,0,0,0,3.951243719,13.94889594,4.795831523,-0.040315273,0,1,0,0.55,0,1,4,1,4,0,1,1,0.534,0,0,0,1,1.004,-2.02163181,0
Romania,RUM,ROU,360,0.002865,0.004,107,283,0,1,0,0,1,0,0,4.976733742,16.76897553,2.366431913,0.041778363,1,1,0,0.31,0,1,4,2,3,0,1,1,0.966,0,1,0,0,0.305,-1.853937722,0
Japan,JPN,JPN,740,0.00262,0.003,108,293,0,0,0,1,0,0,0,7.216709487,18.64117973,1.341640786,0.00667917,0,1,0,0.01,0,1,4,1,4,0,1,1,0.907,0,1,0,0,1.397,-2.985375801,0
The Gambia,GAM,GMB,420,0.002774,0.003,109,298,0,0,1,0,0,0,0,4.043051268,14.81276931,5.89067059,0.039691891,1,1,0,0.79,0,0,4,1,4,0,1,1,0.802,0,1,0,1,0.867,-2.363392532,0
United Kingdom,UKG,GBR,200,0.002584,0.003,110,300,0,0,0,0,1,0,0,6.186208624,18.01871158,1.897366596,0.054648221,0,1,0,0.12,0,1,4,1,4,0,1,1,0.97,0,1,0,0,0.808,-2.360171079,0
Poland,POL,POL,290,0.002809,0.003,111,302,0,1,0,0,1,0,0,4.644390899,17.44386825,1.923538406,0.040566163,1,1,0,0.12,0,1,4,0,4,0,1,1,0.825,0,1,0,0,1.521,-1.525499263,0
Panama,PAN,PAN,95,0.003181,0.003,112,303,0,0,0,0,0,0,0,4.779123493,15.33862415,3.507135583,0.119710559,1,1,0,0.55,0,1,4,1,4,0,1,1,0.919,0,0,0,0,0.001,-2.036058045,0
Bhutan,BHU,BTN,760,0.002769,0.003,113,308,0,0,0,0,0,0,1,4.919980926,13.83621959,4.816637832,-0.062490293,0,1,0,0.6,0,1,3,1,2,0,1,1,0.758,0,0,0,0,1.254,-2.004266082,0
Germany,GER,DEU,255,0.002903,0.003,114,310,0,0,0,0,1,0,0,3.465735903,18.22884633,1.760681686,0.017160676,1,1,0,0.17,0,1,4,1,4,0,1,1,0.976,0,1,0,0,1.776,-1.828601001,0
Chile,CHL,CHL,155,0.002651,0.003,115,325,0,1,0,0,0,0,0,5.318119994,16.77398278,2.408318916,0.089484342,1,1,0,0.19,0,1,4,1,4,0,1,1,0.976,0,1,0,0,1.564,-2.190107903,0
Trinidad and Tobago,TRI,TTO,52,0.002821,0.003,116,332,0,0,0,0,0,0,0,4.094344562,14.30907541,3.847076812,-0.014798844,1,1,0,0.65,0,1,4,1,4,0,1,1,0.91,0,0,0,1,0.546,-0.428921933,0
Lesotho,LES,LSO,570,0.002946,0.003,117,334,0,0,1,0,0,0,0,4.025351691,14.68523744,8.360621986,0.001693726,1,1,0,0.26,0,0,4,1,4,0,1,1,0.85,0,1,0,0,0.997,-1.428918126,0
Botswana,BOT,BWA,571,0.002351,0.003,118,341,0,0,1,0,0,0,0,4.025351691,14.77946441,6.008327554,0.086978219,0,1,0,0.41,0,1,4,1,4,0,1,1,0.88,0,1,0,0,0.298,-1.98161369,0
Moldova,MLD,MDA,359,0.002924,0.003,119,341,0,0,0,0,1,0,0,3.433987204,14.84404332,3.535533906,0.108244841,1,1,0,0.55,0,1,4,1,4,0,1,1,0.89,0,0,0,0,0.778,-1.838196872,0
Mauritius,MAS,MUS,590,0.002838,0.003,120,342,0,0,1,0,0,0,0,3.988984047,14.22244712,3.847076812,0.026618682,1,1,0,0.46,0,0,4,1,4,0,1,0,0.807,0,0,0,1,-0.098,-1.870045821,0
Spain,SPN,ESP,230,0.002562,0.003,121,361,0,0,0,0,1,0,0,6.272877007,17.66780165,1.643167673,0.035595538,1,1,0,0.42,0,1,4,1,4,0,1,1,0.903,0,1,0,0,1.16,-2.125242085,0
France,FRN,FRA,220,0.002576,0.003,122,363,0,0,0,0,1,0,0,7.072421901,18.02126498,1.843908891,0.050711272,1,1,0,0.1,0,1,4,2,4,0,1,1,0.961,0,1,0,0,1.273,-2.233204157,0
Jamaica,JAM,JAM,51,0.002765,0.003,123,374,0,0,0,0,0,0,0,4.094344562,14.9763104,3.376388603,0.031232072,1,1,0,0.41,0,1,4,1,4,0,1,1,0.967,0,0,0,0,1.57,-2.02929706,0
Georgia,GRG,GEO,372,0.002235,0.003,124,383,0,1,0,0,1,0,0,3.433987204,15.18166861,2.863564213,0.078693987,1,1,0,0.49,0,0,4,0,3,0,1,1,0.831,0,1,0,1,0.229,-1.685966879,0
Guyana,GUY,GUY,110,0.002764,0.003,125,384,0,0,0,0,0,0,0,4.025351691,13.84628158,4.878524367,0.157550336,1,1,0,0.62,0,0,4,1,4,0,1,1,0.885,0,0,0,0,0.768,-1.963861374,0
Montenegro,MNE,MNE,341,0.002615,0.003,126,391,0,0,0,0,1,0,0,2.772588722,13.66793819,1.414213562,0.095798383,1,1,0,0.7,0,1,4,1,3,0,0,0,0.88,0,1,0,0,1.17,-1.642903088,0
Italy,ITA,ITA,325,0.002458,0.003,127,392,0,0,0,0,1,0,0,5.081404365,17.88833597,1.58113883,0.048075823,1,1,0,0.11,0,1,4,1,4,0,1,1,0.972,0,1,0,0,2.024,-2.213880791,0
Hungary,HUN,HUN,310,0.00214,0.003,128,395,0,1,0,0,1,0,0,5.153291594,16.10413303,1.843908891,0.051807723,1,1,0,0.15,0,1,4,1,4,0,1,1,0.864,0,1,0,1,0.544,-1.172553638,0
Bulgaria,BUL,BGR,355,0.002224,0.002,129,404,0,1,0,0,1,0,0,4.9698133,15.77261139,2.258317958,0.027753147,1,1,0,0.4,0,1,4,1,4,0,1,1,0.906,0,1,0,0,1.086,-1.458360765,0
Serbia,SRB,SRB,345,0.002063,0.002,130,449,0,0,0,0,1,0,0,2.772588722,15.76488325,2.213594362,0.054219649,1,1,0,0.57,0,1,4,1,4,0,1,1,0.763,0,1,0,1,0.791,-1.534603327,0
Switzerland,SWZ,CHE,225,0.001819,0.002,131,475,0,0,0,0,1,0,0,6.59441346,15.99698203,1.870828693,0.023750112,0,1,0,0.53,0,1,4,1,4,0,1,1,0.971,0,1,0,0,1.246,-1.457315917,0
Belarus,BLR,BLR,370,0.001755,0.002,132,491,0,0,0,0,1,0,0,3.433987204,16.06632633,1.483239697,0.013980638,1,1,0,0.32,0,1,4,1,2,0,1,1,0.047,0,1,1,0,0.868,-1.343095302,0
Belgium,BEL,BEL,211,0.002025,0.002,133,500,0,0,0,0,1,0,0,5.257495372,16.27685034,1.843908891,0.04478693,1,1,0,0.56,0,1,4,1,4,0,1,1,0.955,0,1,0,0,1.83,-1.122810613,0
Australia,AUL,AUS,900,0.002059,0.002,134,500,0,0,0,1,0,0,0,4.795790546,17.06316589,1.760681686,0.005478949,1,1,0,0.09,0,1,4,1,4,0,1,1,0.967,0,1,0,0,0.842,-2.716121867,0
Mongolia,MON,MNG,712,0.001922,0.002,135,515,0,0,0,1,0,0,0,4.709530201,15.0809745,3.633180425,0.005032645,1,1,0,0.37,0,1,4,2,4,0,1,1,0.976,0,1,0,1,-0.224,-1.502062168,0
Albania,ALB,ALB,339,0.001868,0.002,136,528,0,1,0,0,1,0,0,4.700480366,14.9248361,2.966479395,0.063736953,1,1,0,0.22,0,1,4,1,4,0,1,1,0.873,0,1,0,0,-0.431,-2.029501476,0
Singapore,SIN,SGP,830,0.001587,0.002,137,528,0,0,0,1,0,0,0,4.043051268,15.54676152,1.341640786,0.05607143,0,1,1,0.39,0,0,4,1,3,0,1,1,0.51,0,1,0,1,1.005,-0.35870882,0
Oman,OMA,OMN,698,0.001715,0.002,138,572,0,0,0,0,0,1,0,5.918893854,15.50557562,3.082207001,-0.002557786,0,1,0,0.44,0,1,0,1,3,0,1,0,0.303,0,1,0,1,-0.852,-1.936718816,0
Czech Republic,CZR,CZE,316,0.001823,0.002,139,577,0,0,0,0,1,0,0,3.36729583,16.19920906,1.516575089,0.020869736,1,1,0,0.32,0,1,4,1,4,0,1,1,0.901,0,1,0,0,1.097,-1.316587434,0
Netherlands,NTH,NLD,210,0.001866,0.002,140,583,0,0,0,0,1,0,0,6.118097198,16.68377269,1.897366596,0.034824527,1,1,0,0.11,0,1,4,1,4,0,1,1,0.922,0,1,0,0,2.182,-1.212227528,0
New Zealand,NEW,NZL,920,0.001675,0.002,141,606,0,0,0,1,0,0,0,4.744932128,15.48699666,1.974841766,0.031617826,1,1,0,0.4,0,1,4,1,4,0,1,1,0.981,0,1,0,1,0.878,-2.605791423,0
Croatia,CRO,HRV,344,0.001605,0.002,142,641,0,0,0,0,1,0,0,3.433987204,15.22862714,1.974841766,0.079435137,1,1,0,0.37,0,1,4,1,4,0,1,1,0.866,0,1,0,1,0.66,-1.66394206,0
Swaziland,SWA,SWZ,572,0.002138,0.002,143,652,0,0,1,0,0,0,0,3.988984047,14.15871545,6.115553941,0.054523439,0,1,1,0.06,0,1,0,0,3,0,1,0,0.043,0,0,0,1,-0.867,-1.857737478,0
Greece,GRC,GRC,350,0.001724,0.002,144,653,0,0,0,0,1,0,0,5.247024072,16.1956538,1.897366596,0.06202289,1,1,0,0.16,0,1,4,1,3,0,1,1,0.942,0,1,0,0,2.108,-1.831096718,0
Macedonia,MAC,MKD,343,0.001579,0.002,145,660,0,0,0,0,1,0,0,3.433987204,14.57207188,2.705549852,0,1,1,0,0.5,0,1,4,1,4,0,1,1,0.772,0,1,0,1,-0.422,-0.747739586,0
Slovakia,SLO,SVK,317,0.001649,0.001,146,688,0,0,0,0,1,0,0,3.36729583,15.54565326,2.167948339,0.018214502,1,1,0,0.25,0,1,4,1,3,0,1,1,0.95,0,1,0,0,1.296,-1.0054357,0
Costa Rica,COS,CRI,94,0.001635,0.001,147,700,0,0,0,0,0,0,0,5.303304908,15.49005359,2.588435821,0.055787947,1,1,0,0.24,0,1,4,1,4,0,1,1,0.965,0,1,0,0,0.678,-2.089056517,0
Austria,AUS,AUT,305,0.001613,0.001,148,707,0,0,0,0,1,0,0,4.644390899,16.0254644,1.732050808,0.030275812,1,1,0,0.11,0,1,4,1,3,0,1,1,0.978,0,1,0,0,0.735,-1.589501084,0
Portugal,POR,PRT,235,0.001532,0.001,149,760,0,0,0,0,1,0,0,6.778784898,16.1616309,1.643167673,0.033549645,1,1,0,0.05,0,1,4,1,4,0,1,1,0.955,0,1,0,0,1.249,-1.857808857,0
Sweden,SWD,SWE,380,0.001524,0.001,150,761,0,0,0,0,1,0,0,6.212606096,16.17260171,1.449137675,0.032885398,1,1,0,0.06,0,1,4,1,4,0,1,1,0.911,0,1,0,0,1.544,-1.843825073,0
Latvia,LAT,LVA,367,0.001457,0.001,151,766,0,0,0,0,1,0,0,3.433987204,14.56367672,1.843908891,0.030260369,1,1,0,0.59,0,1,4,2,4,0,1,1,0.974,0,1,0,0,1.316,-1.41307852,0
Cyprus,CYP,CYP,352,0.001594,0.001,152,778,0,0,0,0,1,0,0,4.127134385,14.18861984,1.516575089,0.038753903,1,1,0,0.09,0,1,4,1,4,0,1,1,0.933,0,0,0,0,2.017,-1.179155275,0
Armenia,ARM,ARM,371,0.00155,0.001,153,778,0,0,0,0,1,0,0,3.433987204,14.97465499,3.1144823,0.040297643,1,1,0,0.13,0,0,4,1,3,0,1,1,0.912,0,1,0,0,0.717,-1.978920632,0
Uruguay,URU,URY,165,0.001447,0.001,154,821,0,0,0,0,0,0,0,5.283203729,15.12358484,2.302172887,0.029311895,1,1,0,0.25,0,1,4,1,4,0,1,1,0.873,0,1,0,0,0.648,-2.329226927,0
Solomon Islands,SOL,SLB,940,0.001415,0.001,155,837,0,0,0,1,0,0,0,3.784189634,13.7597666,4.074309757,-0.008139376,0,1,0,0.11,0,1,4,1,4,0,1,0,0.829,0,1,0,0,-0.156,-2.201347276,0
Ireland,IRE,IRL,205,0.001394,0.001,156,860,0,0,0,0,1,0,0,4.605170186,15.46928007,1.61245155,0.104404899,1,1,0,0.12,0,1,4,1,4,0,1,1,0.978,0,1,0,0,1.774,-0.787754465,0
Finland,FIN,FIN,375,0.001387,0.001,157,860,0,0,0,0,1,0,0,4.644390899,15.56209144,1.378404875,0.021956732,1,1,0,0.13,0,1,4,1,4,0,1,1,0.971,0,1,0,0,1.899,-1.98431006,0
Lithuania,LIT,LTU,368,0.001356,0.001,158,876,0,0,0,0,1,0,0,3.433987204,14.9194856,1.643167673,0.034557494,1,1,0,0.32,0,1,4,1,4,0,1,1,0.834,0,1,0,0,1.388,-1.20957408,0
Denmark,DEN,DNK,390,0.001371,0.001,159,892,0,0,0,0,1,0,0,6.963189986,15.61504602,1.760681686,0.032002093,1,1,0,0.08,0,1,4,1,4,0,1,1,0.983,0,1,0,0,1.847,-1.575341569,0
Norway,NOR,NOR,385,0.001334,0.001,160,915,0,0,0,0,1,0,0,4.762173935,15.53879887,1.341640786,0.025649865,1,1,0,0.06,0,1,4,1,4,0,1,1,0.912,0,1,0,0,2.383,-2.087886661,0
Estonia,EST,EST,366,0.001188,0.001,161,1027,0,0,0,0,1,0,0,3.433987204,14.26324876,1.303840481,0.062132926,1,1,0,0.51,0,1,4,1,4,0,1,1,0.95,0,1,0,0,1.436,-1.18022273,0
Slovenia,SLV,SVN,349,0.001181,0.001,162,1057,0,0,0,0,1,0,0,3.433987204,14.66340304,1.341640786,0.060197052,1,1,0,0.22,0,1,4,1,4,0,1,1,0.73,0,1,0,0,1.181,-1.17366742,0
