country,SFTGcode,ISO3,COW,risk_in_2022,risk_in_2022_23,riskrank,1 in X chance,anymk.ongoing,anymk.ever,reg.afr,reg.eap,reg.eur,reg.mna,reg.sca,countryage.ln,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,ios.iccpr1,includesnonstate,minorityrule,elf.ethnic,battledeaths.ln,candidaterestriction,partyban,judicialreform,religiousfreedom,pol_killing_approved,freemove_men4,freemove_women4,freediscussion,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,ses_power_dist,tradeshare.ln.combined,coup.try.5yr
Mali,MLI,MLI,432,0.01696,0.03,24,33,0,0,1,0,0,0,0,4.127134385,16.85503914,7.668115805,0.018621615,1,1,1,0.69,6.588926478,1,4,2,3,0,1,1,0.875,0,0,0,1,0.392,-2.101870092,1
Tanzania,TAZ,TZA,510,0.01125,0.028,25,35,0,1,1,0,0,0,0,4.110873864,17.92852086,5.89067059,0.02858727,0,1,0,0.74,0,1,4,1,3,0,1,1,0.666,0,0,0,1,1.078,-2.984511052,0
Libya,LIB,LBY,620,0.01175,0.027,26,38,0,1,0,0,0,1,0,4.262679877,15.780886,3.082207001,0.251875081,1,1,0,0.79,0,1,3,1,1,0,0,0,0.425,0,0,0,1,0.542,-1.976115198,0
Egypt,EGY,EGY,651,0.01274,0.026,27,39,0,1,0,0,0,1,0,4.234106505,18.45470987,4.074309757,0.020738607,1,1,1,0.18,4.727387819,1,3,1,3,0,1,0,0.169,0,0,0,1,-0.484,-2.984851593,0
Rwanda,RWA,RWA,517,0.01077,0.025,28,39,0,1,1,0,0,0,0,4.094344562,16.41018316,5.504543578,0.083025488,0,1,1,0.32,0,1,3,0,3,1,0,0,0.253,0,1,0,1,-0.006,-2.38819542,0
Ivory Coast,IVO,CIV,437,0.01187,0.024,29,41,0,1,1,0,0,0,0,4.127134385,17.11249976,7.609204952,0.051188706,1,1,0,0.82,0,1,4,1,4,0,1,1,0.647,0,0,0,1,-0.058,-2.4407669,0
Iran,IRN,IRN,630,0.01065,0.024,30,42,0,1,0,0,0,1,0,6.255750042,18.25137149,3.33166625,0.007017054,0,1,1,0.67,3.433987204,0,2,1,1,0,1,0,0.413,0,0,0,1,0.419,-2.555544058,0
Niger,NIR,NER,436,0.01467,0.024,31,42,0,0,1,0,0,0,0,4.127134385,17.03947731,6.752777206,0.004464354,1,1,0,0.65,6.124683391,1,4,2,3,0,1,1,0.845,0,0,0,0,1.301,-2.783194708,1
Angola,ANG,AGO,540,0.01259,0.023,32,43,0,1,1,0,0,0,0,3.850147602,17.33721637,6.949820142,-0.0009095,1,1,1,0.79,0,1,4,1,3,0,1,0,0.625,0,0,0,1,-0.008,-2.407435869,0
Cambodia,CAM,KHM,811,0.0121,0.023,33,43,0,1,0,1,0,0,0,4.234106505,16.65021233,4.69041576,0.018263272,0,1,0,0.21,0,1,3,1,3,0,0,0,0.262,0,0,0,1,-1.035,-1.396292226,0
Cameroon,CAO,CMR,471,0.01282,0.022,34,46,0,0,1,0,0,0,0,4.127134385,17.11872947,6.949820142,0.022056059,1,1,1,0.86,6.366470448,0,4,1,4,0,1,1,0.693,0,0,0,1,-0.084,-2.79111156,0
South Africa,SAF,ZAF,560,0.0103,0.022,35,46,0,1,1,0,0,0,0,4.718498871,17.90465207,5.07937004,0.033824847,1,1,0,0.75,0,1,4,2,4,0,1,1,0.837,0,0,0,1,1.15,-2.343603194,0
Kenya,KEN,KEN,501,0.01103,0.022,36,46,0,0,1,0,0,0,0,4.077537444,17.81706431,5.585696018,0.055275248,0,1,0,0.86,4.369447852,1,4,1,4,0,1,1,0.849,0,0,0,0,0.537,-3.009930001,0
Laos,LAO,LAO,812,0.01294,0.022,37,46,0,1,0,1,0,0,0,4.290459441,15.83761307,5.941380311,0.014158724,0,1,1,0.51,0,1,0,1,2,1,0,0,0.066,0,0,0,1,0.307,-2.021033364,0
Bangladesh,BNG,BGD,771,0.009926,0.021,38,47,0,1,0,0,0,0,1,3.931825633,18.92075478,4.929503018,0.050506096,0,1,0,0.05,0,1,3,1,4,0,1,1,0.288,0,0,0,0,-2.481,-3.121424718,0
South Sudan,SSD,SSD,626,0.01495,0.02,39,49,1,1,1,0,0,0,0,2.397895273,16.25925402,7.956129712,-0.052,0,1,1,0.73,5.241747015,1,1,1,3,0,0,0,0.196,1,1,0,1,-2.587,-1.29159388,0
Eritrea,ERI,ERI,531,0.01008,0.02,40,51,0,0,1,0,0,0,0,3.36729583,15.64155261,5.449770637,0.05,0,1,1,0.65,0,1,0,1,1,1,0,0,0.142,0,0,1,1,0.678,-1.714846647,0
Turkey,TUR,TUR,640,0.01272,0.019,41,53,0,1,0,0,1,0,0,4.59511985,18.23492577,4.39886349,0.007798812,1,1,0,0.32,6.104793232,1,4,0,2,0,1,0,0.181,1,0,0,1,0.457,-2.252474188,0
Burkina Faso,BFO,BFA,439,0.01206,0.018,42,56,0,0,1,0,0,0,0,4.127134385,16.88497322,7.26636085,0.050239622,1,1,0,0.74,6.914730893,1,4,1,4,0,1,1,0.712,0,0,0,0,1.314,-2.293679529,0
Sierra Leone,SIE,SLE,451,0.01029,0.018,43,57,0,1,1,0,0,0,0,4.110873864,15.93279367,8.949860334,0.018459528,1,1,0,0.82,0,0,4,1,4,0,1,1,0.85,0,0,0,0,0.44,-2.436276637,0
Algeria,ALG,DZA,615,0.008859,0.017,44,59,0,1,0,0,0,1,0,4.094344562,17.60915474,4.415880433,0.025032815,1,1,0,0.34,0,1,3,1,2,0,1,0,0.583,0,0,0,1,1.109,-2.464579207,0
Nicaragua,NIC,NIC,93,0.008978,0.016,45,61,0,1,0,0,0,0,0,5.214935758,15.74471074,3.714835124,0.078578495,1,1,1,0.48,0,1,3,0,3,0,0,0,0.078,0,0,1,1,-2.04,-1.637916556,0
Colombia,COL,COL,100,0.01044,0.016,46,61,0,1,0,0,0,0,0,5.313205979,17.74734593,3.376388603,0.080378123,1,1,1,0.6,4.919980926,1,4,1,4,0,1,0,0.408,0,0,0,1,-1.168,-2.700731521,0
Brazil,BRA,BRA,140,0.008284,0.016,47,62,0,0,0,0,0,0,0,5.283203729,19.17254935,3.619392214,0.031392134,0,1,0,0.54,0,1,4,1,3,0,1,1,0.728,0,0,0,1,0.166,-2.739574384,0
Lebanon,LEB,LBN,660,0.00725,0.016,48,62,0,0,0,0,0,1,0,4.369447852,15.75426723,2.449489743,-0.093373299,0,1,0,0.13,0,1,4,0,4,0,0,0,0.741,0,0,0,1,-0.581,-1.853199216,0
Nepal,NEP,NPL,790,0.009473,0.016,49,64,0,1,0,0,0,0,1,5.537334267,17.20416733,4.857983121,0.028322354,1,1,0,0.66,0,1,4,1,3,0,1,0,0.82,0,0,0,0,0.857,-2.6160828,0
Morocco,MOR,MAR,600,0.007506,0.016,50,65,0,0,0,0,0,1,0,4.189654742,17.43233182,4,0.054083309,0,1,0,0.48,0,1,4,2,1,0,1,0,0.641,0,0,0,0,-0.225,-1.897582908,0
Liberia,LBR,LBR,450,0.007878,0.015,51,65,0,1,1,0,0,0,0,5.164785974,15.49765944,7.6223356,0.026287297,0,1,0,0.91,0,0,4,1,3,0,1,1,0.939,0,0,0,0,0.626,-1.474753896,0
Malawi,MAW,MWI,553,0.007837,0.015,52,69,0,1,1,0,0,0,0,4.060443011,16.79610198,5.385164807,0.015997102,1,1,0,0.67,0,0,4,1,4,0,1,1,0.841,0,0,0,1,-0.17,-2.153489617,0
Uzbekistan,UZB,UZB,704,0.0104,0.014,53,72,0,0,0,0,0,0,1,3.433987204,17.36552305,3.535533906,0.054473809,1,1,1,0.41,0,1,1,1,2,0,0,0,0.576,0,0,0,1,-0.255,-2.199570085,0
Madagascar,MAG,MDG,580,0.008098,0.014,54,73,0,0,1,0,0,0,0,4.127134385,17.16158476,6.024948133,0.029603071,1,1,0,0.88,0,1,4,1,3,0,1,1,0.626,0,0,0,1,-0.494,-2.413642832,0
United States of America,USA,USA,2,0.007378,0.013,55,75,0,0,0,0,0,0,0,5.476463552,19.61100198,2.323790008,0.040059525,0,1,0,0.49,0,1,4,1,4,0,1,1,0.942,0,0,0,0,0.906,-3.306679522,0
Philippines,PHI,PHL,840,0.01116,0.013,56,78,1,1,0,1,0,0,0,4.820281566,18.51764381,4.57165178,0.040323653,1,1,1,0.24,5.587248658,1,3,1,3,0,1,1,0.494,0,0,0,1,-0.708,-2.206175628,0
Haiti,HAI,HTI,41,0.006537,0.011,57,87,0,1,0,0,0,0,0,5.384495063,16.27294052,6.833739825,-0.021498566,0,1,1,0.1,0,1,4,1,4,0,1,1,0.801,0,0,0,1,-0.88,-2.801299331,0
North Korea,PRK,PRK,731,0.007952,0.011,58,89,1,1,0,1,0,0,0,4.304065093,17.07188014,4.712748667,-0.016580903,0,1,1,0.04,0,1,0,1,0,1,0,0,0.018,0,1,1,1,-1.215,-2.841965881,0
United Arab Emirates,UAE,ARE,696,0.006742,0.011,59,90,0,0,0,0,0,1,0,3.931825633,16.13197101,2.366431913,0.007148312,0,1,1,0.63,0,1,0,1,3,0,0,0,0.305,0,0,0,1,-0.919,-1.170479355,0
Mexico,MEX,MEX,70,0.007176,0.011,60,91,0,0,0,0,0,0,0,5.303304908,18.67690737,3.435112807,0.032857213,1,1,0,0.54,0,1,4,1,4,0,1,1,0.825,0,0,0,1,0.746,-1.91894855,0
Peru,PER,PER,135,0.007161,0.011,61,93,0,1,0,0,0,0,0,4.96284463,17.320277,3.16227766,0.103340527,1,1,0,0.66,0,1,4,1,4,0,1,0,0.922,0,0,0,1,2.251,-2.354839863,0
Zambia,ZAM,ZMB,551,0.007264,0.011,62,94,0,0,1,0,0,0,0,4.060443011,16.75888223,6.457553716,0.022766602,1,1,0,0.78,0,1,4,1,4,0,1,1,0.725,0,0,0,0,1.072,-1.813605799,0
Bahrain,BAH,BHR,692,0.005611,0.011,63,94,0,0,0,0,0,1,0,3.931825633,14.49840892,2.408318916,0.011661573,0,1,1,0.5,0,0,3,0,1,0,0,0,0.295,1,0,0,1,-2.026,-1.334615831,0
Russia,RUS,RUS,365,0.006746,0.01,64,96,0,1,0,0,1,0,0,3.433987204,18.77313992,2.097617696,0.033043469,1,1,0,0.25,0,1,4,0,3,0,1,1,0.608,0,0,0,0,-0.736,-2.424037147,0
Sri Lanka,SRI,LKA,780,0.005776,0.01,65,96,0,1,0,0,0,0,1,3.912023005,16.91481987,2.42899156,0.023449132,1,1,0,0.42,0,1,4,1,3,0,1,1,0.642,0,0,0,1,0.421,-2.635670188,0
Guatemala,GUA,GTM,90,0.006195,0.01,66,104,0,1,0,0,0,0,0,5.209486153,16.65966292,4.483302354,0.055359916,1,1,1,0.51,0,1,4,1,4,0,1,1,0.745,1,0,0,1,-0.265,-2.482136979,0
Papua New Guinea,PNG,PNG,910,0.006472,0.01,67,105,0,1,0,1,0,0,0,3.850147602,16.04298297,5.93295879,0.005683643,0,1,0,0.27,0,1,4,1,4,0,1,0,0.849,0,0,0,0,0.176,-0.766920175,0
Jordan,JOR,JOR,663,0.004273,0.009,68,107,0,1,0,0,0,1,0,4.33073334,16.15874534,3.591656999,0.011533118,0,1,0,0.59,0,1,4,1,2,0,1,0,0.693,0,1,0,1,0.596,-1.921073581,0
