country,SFTGcode,COW,risk_in_2021,risk_in_2021_22,anymk.ongoing,anymk.ever,reg.afr,reg.eap,reg.eur,reg.mna,reg.sca,countryage.ln,popsize.ln.combined,imr.sqrt,gdppcgrowth.combined,ios.iccpr1,includesnonstate,minorityrule,elf.ethnic,battledeaths.ln,candidaterestriction,partyban,judicialreform,religiousfreedom,pol_killing_approved,freemove_men4,freemove_women4,freediscussion,social_inequality,even_civilrights,repress_civilsoc,social_power_dist,ses_power_dist,tradeshare.ln.combined,coup.try.5yr
Pakistan,PAK,770,0.06876,0.1516,1,1,0,0,0,0,1,4.304065093,19.21318595,7.463243263,0.525527439,0,1,1,0.71,5.726847748,1,4,1,1,0,0,0,0.58,1,0,0,1,-0.715,3.266160528,0
India,IND,750,0.06824,0.144,1,1,0,0,0,0,1,4.304065093,21.04535251,5.319774431,-7.964610411,0,1,0,0.42,6.142037406,1,3,1,2,0,0,0,0.715,0,0,0,1,0.118,3.596486807,0
Democratic Republic of Congo,ZAI,490,0.05721,0.1073,1,1,1,0,0,0,0,4.110873864,18.31043503,8.13019065,0.773457032,1,1,1,0.87,6.862757913,1,4,1,3,0,0,0,0.589,0,0,0,1,-1.125,4.180468875,0
Afghanistan,AFG,700,0.05084,0.1089,1,1,0,0,0,0,1,4.624972813,17.4772331,6.819090848,-1.934778249,0,1,0,0.77,9.926911067,1,4,0,2,0,0,0,0.772,0,0,0,1,-1.488,3.820372019,0
Yemen,YEM,679,0.04348,0.1239,0,0,0,0,0,1,0,3.433987204,17.21088998,6.603029608,-0.059,0,1,1,0.135,7.767687277,1,4,1,0,1,0,0,0.23,1,0,0,1,-1.469,-2.793221337,0
Somalia,SOM,520,0.0405,0.06796,1,1,1,0,0,0,0,4.110873864,16.5814031,8.602325267,-1.495162709,1,1,0,0.81,7.571988449,1,4,1,0,0,0,0,0.428,0,0,0,1,-0.685,4.785073883,0
Ethiopia,ETI,530,0.03829,0.07419,1,1,1,0,0,0,0,7.659642955,18.56012597,6.041522987,6.056617792,0,1,1,0.72,7.203405521,1,4,2,3,0,0,0,0.476,0,0,0,1,1.312,3.178813244,0
Sudan,SUD,625,0.03691,0.06911,1,1,1,0,0,0,0,4.17438727,17.59626861,6.403124237,-1.5621618,0,1,1,0.71,3.828641396,1,3,1,2,0,0,0,0.497,0,0,0,1,-1.558,2.29808951,1
Nigeria,NIG,475,0.03599,0.07116,1,1,1,0,0,0,0,4.110873864,19.1440641,8.613942187,-1.794253082,0,1,0,0.85,7.599901959,1,4,2,3,0,1,1,0.873,0,0,0,1,0.254,3.234740865,0
Guinea,GUI,438,0.03175,0.0809,0,1,1,0,0,0,0,4.143134726,16.39062287,7.987490219,6.988559971,1,1,1,0.74,0,1,4,1,4,1,0,0,0.382,0,0,0,1,-0.209,4.502338623,0
